Phone Name,Condition,Price,Shipping Cost,Location,Seller Info,Quantity Sold
Shop on eBay,Brand New,$20.00,Shipping cost not found,Location not found,Seller info not found,Quantity sold not found
Shop on eBay,Brand New,$20.00,Shipping cost not found,Location not found,Seller info not found,Quantity sold not found
Apple iPhone 12 Mini 64GB Unlocked - Good,Good - Refurbished,$197.99,+$31.97 shipping,from United States,"cellfeee (109,736) 97.9%",207+ sold
Apple iPhone 12 Pro 128GB Unlocked - Very Good,Very Good - Refurbished,$347.99,+$28.58 shipping,from United States,"cellfeee (109,736) 97.9%",364+ sold
Apple iPhone 13 128GB Unlocked - Good,Good - Refurbished,$347.99,+$28.58 shipping,from United States,"cellfeee (109,736) 97.9%",55+ sold
Apple - iPhone 16 - 256gb - Factory Sealed - Factory Warranty - UNLOCKED,Brand New,$924.99,+$53.42 shipping,from United States,"alldayzip (38,060) 97.1%",Quantity sold not found
Apple iPhone 16 - Unlocked - Black - 128GB - Brand New,Brand New,$809.00,+$50.44 shipping,from United States,"buybackboss (17,819) 98.8%",Quantity sold not found
Apple iPhone 15 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$599.95,+$44.28 shipping,from United States,"supplytronics (109,827) 98.4%",44+ sold
Apple iPhone 13 - 5G Midnight   128GB (AT&T)  Smartphone - Excellent,Excellent - Refurbished,$319.99,+$36.02 shipping,from United States,"amazing-wireless (141,985) 99.4%",135 sold
New ListingApple iPhone 13 Pro - 128GB - Sierra Blue (Unlocked)Excellent Working condition,Pre-Owned,$393.26,+$87.83 shipping estimate,from United Kingdom,theletterboxshopx (941) 100%,Quantity sold not found
Apple iPhone 16 Pro Max/Pro✅Ships Today Immediately❤️Worldwide Shipping✅Sealed❤️,Brand New,"$1,397.00 to $1,697.00",+$227.60 shipping,from United States,"mchains (2,494) 99.3%",Quantity sold not found
New ListingApple iPhone 16 Pro Max - 256 GB - White ( Unlocked),Brand New,$841.00,+$60.71 shipping,from United States,jerryhunt76 (7) 81.8%,Quantity sold not found
Apple iPhone 15 A2846 T-Mobile Only 128GB Black Good,Good - Refurbished,$459.99,+$39.70 shipping,from United States,"yywirelesss (143,054) 97.7%",50 sold
iPhone 15 128GB Pink,Pre-Owned,$557.10,+$39.31 shipping,from United Kingdom,"sznjim (1,633) 100%",Quantity sold not found
*NEW*Apple iPhone 14 - 512 GB - Midnight (Unlocked),Brand New,$800.00,+$34.71 shipping,from United States,dylanmagana (2) 100%,Quantity sold not found
Apple iPhone 12 64GB Unlocked - Very Good,Very Good - Refurbished,$264.99,+$33.95 shipping,from United States,"cellfeee (109,736) 97.9%",283+ sold
Apple iPhone 12|iPhone 7-32GB|128GB-All Colors Unlocked-Excellent Condition Gi,Pre-Owned,$119.76 to $282.19,+$7.99 shipping,from China,mobiletechsales0 (0) 0%,Quantity sold not found
Apple iPhone 13 128GB Unlocked - Very Good,Very Good - Refurbished,$377.99,+$29.46 shipping,from United States,"cellfeee (109,736) 97.9%",58+ sold
New ListingApple iPhone 15 - NEW 128 GB - Black (Unlocked),Brand New,$700.00,+$56.03 shipping,from United States,step244700 (5) 100%,Quantity sold not found
New ListingBRAND NEW Apple iPhone 16 - 128GB- BLACK-  (Unlocked) - A3081,Brand New,$710.00,+$47.08 shipping,from United States,levelupwithbrock (45) 100%,Quantity sold not found
Apple iPhone 15 Pro Max - 256GB - Black Titanium (Unlocked),Brand New,$677.21,+$13.68 shipping,from Australia,chanrobe_11 (1) 100%,Quantity sold not found
Apple iPhone 14 - 128 GB - Black (T-Mobile) NEW SEALED #6274,Brand New,$430.00,+$39.26 shipping,from United States,hq.enterprise (498) 98.6%,Quantity sold not found
Apple iPhone 15 128GB Unlocked Smartphone - Excellent,Excellent - Refurbished,$612.95,+$44.22 shipping,from United States,"bidallies (350,337) 98.4%",92+ sold
New ListingApple iPhone 16 Pro - 128 GB -Desert Titanium (AT&T),Brand New,$800.00,+$60.75 shipping,from United States,zabcruz21 (300) 100%,Quantity sold not found
New Listing(Pre-Order)Apple watch F5 DEMO A1623,Pre-Owned,"$2,000.00",+$35.00 shipping,from China,nokiaprototype (35) 100%,Quantity sold not found
NEW*  Apple iPhone 15 128GB | Factory Unlocked | All Colors!,Open Box,$659.99,+$46.05 shipping,from United States,"adopt-a-phone (12,493) 99.7%",15+ sold
NEW IN BOX Apple iPhone 4 16GB A1349 MC937LL/A (Demo Edition) / RARE,Brand New,"$10,001.55",+$27.52 shipping,from United States,"timkato118 (1,664) 98.6%",Quantity sold not found
Apple iPhone 13 128 GB (Unlocked) Midnight - Very Good Condition,Pre-Owned,$431.27,+$62.71 shipping estimate,from United Kingdom,"thehardwarepros (1,959) 99.4%",Quantity sold not found
New ListingApple iPhone 13 Pro Max - 128GB - White  (Unlocked) Used,Pre-Owned,$458.80,+$75.45 shipping estimate,from United Kingdom,"*editme* (5,378) 99.6%",Quantity sold not found
Apple iPhone 14 Plus - 128GB - Factory Unlocked - Very Good Condition,Very Good - Refurbished,$499.99,+$40.88 shipping,from United States,"electro-wireless (30,330) 97%",Quantity sold not found
Apple iPhone 12 Mini 64GB Unlocked - Very Good,Very Good - Refurbished,$202.99,+$32.12 shipping,from United States,"cellfeee (109,736) 97.9%",79+ sold
Apple iPhone 11 Unlocked – All Sizes - All Colours – Excellent Condition,Excellent - Refurbished,$249.06 to $353.93,+$56.43 shipping estimate,from United Kingdom,techtigeruk (377) 99.3%,Quantity sold not found
Apple iPhone 12 | iPhone 7-32GB|64GB-All Colors Unlocked-Excellent Condition  HW,Pre-Owned,$244.59,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Great Apple iPhone 12 - 64 GB - Blue (Unlocked),Pre-Owned,$268.82,+$40.62 shipping,from Canada,bre375 (14) 100%,Quantity sold not found
Apple iPhone 13 - 128GB | 256GB (Unlocked) AT&T Verizon T-mobile - All Colors,Open Box,$329.95 to $419.95,+$37.93 shipping,from United States,"uki-mobile (3,327) 99.2%",Quantity sold not found
Brand New Apple iPhone 11 64GB Black Factory Unlocked Never Used,Open Box,$259.00,+$64.75 shipping,from United States,"nyc-electronics (2,107) 99.5%",Quantity sold not found
Apple iPhone 13  - 128GB -   All Colours 5G Excellent Pristine A+ with Apple Box,New (Other),$517.72,+$65.70 shipping estimate,from United Kingdom,"tradersplusltd (14,802) 99.5%",124+ sold
Apple iPhone 12 - 64GB-128GB - All Colors - Fully Unlocked- VERY GOOD Condition,Very Good - Refurbished,$269.99,+$34.10 shipping,from United States,"gadget-solutions (4,245) 97.8%",99+ sold
New Apple iPhone 12 64GB A2172 Factory Unlocked All Mobile Carriers All Colors,Brand New,$359.99,+$36.75 shipping,from United States,"mistyelectronics (132,792) 99.3%",36+ sold
BRAND NEW | Apple iPhone 11 - 64 GB - Black (Unlocked),Brand New,$289.99,+$43.49 shipping,from United States,discount_phone (125) 98.8%,51 sold
Apple iPhone 12|iPhone 7-32GB|128GB-All Colors Unlocked-Excellent Condition AY,Pre-Owned,$109.76 to $282.19,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excellent - Refurbished,$196.61,+$54.61 shipping estimate,from United Kingdom,"onemoremobile (19,941) 99.5%","1,185+ sold"
